所在区,分類,施　設　名,組織,認可 定員 (全体),所在地,電話番号,受入開始年齢,,預かり保育,,園バス,給食,未就園児教室,,園庭開放
,,,,,,,満3歳 ～,3歳 ～,開始時間 （朝）,終了時間 （夕）,,,受入開始年齢,,
,,,,,,,,,,,,,１歳～,２歳～,
,,,,,,,,,,,,,,,
灘区,幼稚園（新制度）,ランバス記念幼稚園,(学),120,岸地通５－２－１７,861-4108,○,,７：００,１９：００,-,週２日,-,満３歳,○
灘区,幼保連携型認定こども園,幼保連携型認定こども園　微笑幼稚園,(学),200,篠原北町３－６ー７,871-2165,,○,７：３０,１９：００,○,週５日,-,-,○
灘区,幼稚園（私学助成制度）,六甲幼稚園,(学),270,宮山町３－３－５,861-3846,,○,８：００,-,-,週２日,-,-,○
灘区,幼稚園（私学助成制度）,若草幼稚園,(学),400,土山町１－５,851-9490,,○,８：００,１９：００,-,週２日,-,○,○
灘区,幼稚園（新制度）,かおる幼稚園,（個人）,95,薬師通４－２－８,861-3759,○,,-,１８：００,-,週３日,-,満3歳,-
灘区,幼稚園（私学助成制度）,高羽幼稚園,(学),220,八幡町１－８－１９,851-0065,○,,７：００,１９：００,○,週２日,-,-,○
灘区,幼保連携型認定こども園,幼保連携型認定こども園　八幡幼稚園・八幡ピジョン保育園,(学),230,深田町１－１－３,851-9377,,○,７：００,１８：３０,-,週６日,-,-,○
灘区,幼稚園（私学助成制度）,ホザナ幼稚園,(学),200,六甲町５－７－８,861-4330,,○,８：００,１８：００,○,週５日,-,○,-
灘区,幼稚園（私学助成制度）,西灘幼稚園,(学),160,岩屋北町３－２－１４,881-2601,,○,-,１７：００,○,週１日,-,-,○
灘区,幼稚園（私学助成制度）,鶴甲幼稚園,(学),200,鶴甲２－２－１２６,821-0130,,○,７：００,２０：００,○,週５日,-,-,○
灘区,幼保連携型認定こども園,幼保連携型認定こども園　はっとこども園,（福）,105,摩耶海岸通２－３－１４,805-3810,,○,７：００,１８：００,-,週６日,-,-,○
灘区,幼保連携型認定こども園,幼保連携型認定こども園　なかはらこども園,(福),151,中原通６－４－５,871-2330,,○,７：００,１８：００,-,週６日,-,-,○
灘区,幼保連携型認定こども園,幼保連携型認定こども園　光愛児園,(福),120,篠原南町５－３－１５,871-7010,,○,７：００,１８：３０,-,週６日,-,-,○
灘区,幼保連携型認定こども園,幼保連携型認定こども園　青谷愛児園,(福),96,青谷町２－１－９,871-9553,,○,７：００,１８：００,-,週６日,-,-,○
灘区,幼保連携型認定こども園,幼保連携型認定こども園　おおいしこども園,(福),85,大石北町３－１２,881-9470,,○,８：００,１８：００,-,週５日,-,-,○
灘区,幼保連携型認定こども園,幼保連携型認定こども園　オリンピア都こども園,(福),105,六甲町５－２－１２,805-5165,,○,８：００,１８：００,-,週６日,-,-,○
灘区,幼保連携型認定こども園,（仮称）ゆりか認定こども園,(福),105,神ノ木通２－２－９,871-0132,,○,７：００,１９：００,-,週６日,-,-,○
灘区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　六甲ゆりかごこども園,(福),75,友田町２－５－１,858-7400,,○,７：００,１９：００,-,週６日,-,-,○
中央区,幼稚園（私学助成制度）,熊内幼稚園,(学),120,熊内町９－２－１８,222-3748,○,,８：００,２０：００,○,-,満１歳,-,○
中央区,幼稚園（新制度）,明照幼稚園,（個人）,80,熊内町３－２－３,231-0020,○,,８：００,１７：００,-,週２日,-,満２歳,○
中央区,幼保連携型認定こども園,幼保連携型認定こども園　塩原学園幼稚園,(学),120,上筒井通４－３－３０,241-8010,,○,７：００,１８：００,-,週２日,-,-,○
中央区,幼稚園（新制度）,小さき花の園幼稚園,（宗）,80,籠池通５－１－１３,241-2910,○,,８：００,１７：３０,-,週１日,-,満２歳,○
中央区,幼稚園（私学助成制度）,山手幼稚園,(学),130,山本道３－１６－１２,221-3524,,○,８：００,１７：００,○,週３日,-,-,○
