所在区,分類,施 設 名,組織,認可 定員 (全体),所在地,電話番号,受入開始年齢,,預かり保育,,園バス,給食,未就園児教室,,園庭開放
,,,,,,,満3歳 ～,3歳 ～,開始時間 （朝）,終了時間 （夕）,,,受入開始年齢,,
,,,,,,,,,,,,,１歳～,２歳～,
兵庫区,幼稚園（私学助成制度）,神戸夢野幼稚園,(学),120,東山町４－２０,511-8837,,○,-,１８：００,-,週４日,-,○,○
兵庫区,幼稚園（新制度）,石井幼稚園,（宗）,100,都由乃町１－１－１１,521-4485,,○,-,１６：００,-,週２日,-,-,○
兵庫区,幼保連携型認定こども園,幼保連携型認定こども園 神港みどり幼稚園,(学),105,会下山町２－５－３２,521-1834,○,,-,１７：００,○,週３日,-,-,○
兵庫区,幼稚園（私学助成制度）,聖ミカエル兵庫幼稚園,(学),210,吉田町１－１－１,681-1304,○,,８：００,１７：００,○,週５日,-,-,-
兵庫区,幼稚園型認定こども園,認定こども園 みなと幼稚園,(学),360,荒田町３－２０－４,511-1349,,○,７：００,１９：００,○,週４日,-,○,-
兵庫区,幼稚園（私学助成制度）,たちえ幼稚園,(学),200,菊水町１０－３９－２５,531-2000,,○,-,１８：００,○,週５日,-,○,○
兵庫区,幼保連携型認定こども園,幼保連携型認定こども園 宝地院保育園,(福),145,荒田町３－１７－１,511-0167,,○,７：００,１９：0０,-,週５日,-,-,○
兵庫区,幼保連携型認定こども園,幼保連携型認定こども園 大同保育園,(福),165,大同町２－２－１６,521-5081,○,,７：００,１９：００,-,週６日,-,-,○
兵庫区,幼保連携型認定こども園,幼保連携型認定こども園 モーツァルト兵庫こども園,(福),105,大開通１０－1－４,575‐6666,,○,７：００,１８：００,-,週６日,-,-,○
兵庫区,幼保連携型認定こども園,幼保連携型認定こども園 ゆりかごこども園,(福),102,氷室町２－１４－１,521-1122,,○,７：００,１９：００,-,週６日,-,-,○
兵庫区,幼保連携型認定こども園,大慈ひょうご幼保連携型認定こども園,(福),99,東出町２－１２－９,671-0173,,○,７：００,２０：００,-,週６日,-,-,○
兵庫区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園 神徳館こども園,(福),80,御崎本町1丁目1-31,671-6442,,○,８：００,１８：００,-,週５日,-,○,○
北区（本区）,幼稚園型認定こども園,認定こども園 鈴蘭台幼稚園,(学),347,鈴蘭台南町１－２－１５,591-0617,○,,７：００,１９：００,○,週４日,-,○,○
北区（本区）,幼保連携型認定こども園,幼保連携型認定こども園 五葉幼稚園,(学),320,北五葉３－７－２,591-0718,○,,７：００,１９：００,○,週６日,-,○,○
北区（北神）,幼稚園（私学助成制度）,ありの藤原幼稚園,(学),240,藤原台南町１－１１,981-1111,,○,７：３０,１８：００,○,週５日,-,-,○
北区（本区）,幼稚園（私学助成制度）,聖ミカエル幼稚園,(学),240,南五葉３－１－２,591-6789,○,,７：００,２０：００,○,週３日,○,-,-
北区（北神）,幼稚園（新制度）,北六甲幼稚園,(学),350,有野台３－１２,981-0135,○,,８：００,１８：００,○,週４日,-,○,○
北区（本区）,幼稚園（私学助成制度）,広陵幼稚園,(学),400,広陵町２－３２,581-8037,,○,７：３０,１９：００,○,週４日,-,○,-
北区（本区）,幼稚園（私学助成制度）,泉台幼稚園,(学),320,泉台２－２－３,593-9200,○,,７：００,１９：００,○,週３日,-,満２歳,○
北区（本区）,幼保連携型認定こども園,幼保連携型認定こども園 星和台幼稚園,(学),220,星和台２－１６－１３,593-9100,○,,７：００,１９：００,○,週６日,-,○,○
北区（本区）,幼稚園型認定こども園,認定こども園 ひよどり台幼稚園,(学),192,ひよどり台５－２,743-2061,,○,８：００,１９：００,○,週５日,-,○,○
北区（北神）,幼稚園（私学助成制度）,レナ幼稚園,(学),305,有野町唐櫃字西ノ垣２８３３,981-0607,,○,７：３０,１９：００,○,週４日,-,○,-
