地区,分類,施設名,組織,利用定員（２・３号）,入所の可能性 ０歳児,入所の可能性 １歳児,入所の可能性 ２歳児,入所の可能性 ３歳児,入所の可能性 ４歳児,入所の可能性 ５歳児,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,,合計
長田区,保育所,みすまる保育園,私立,120,×,×,×,〇,〇,×,4,4,1,0,0,0,,9
長田区,保育所,五位の池保育園,私立,80,〇,×,〇,〇,×,×,2,3,0,0,0,0,,5
長田区,保育所,ほそだ保育園,私立,140,×,×,×,×,×,×,9,6,2,1,0,0,,18
長田区,家庭的保育事業,豊福　赤ちゃんホーム,私立,4,〇,,,,,,0,,,,,,,0
長田区,小規模保育事業,こぐまプリスクール新長田園,私立,19,×,×,〇,,,,0,0,0,,,,,0
西区,幼保連携型認定こども園,幼保連携型認定こども園　岩岡こども園　　※分園を含む,む※１私立,140*,×,×,×,×,×,×,3,1,1,2,2,0,,9
西区,幼保連携型認定こども園,幼保連携型認定こども園　おっこう山,私立,90*,×,×,×,×,×,×,6,0,1,2,1,1,,11
西区,幼保連携型認定こども園,幼保連携型認定こども園　あさひ保育園,私立,240*,○,○,○,○,○,○,2,1,1,0,0,0,,4
西区,幼保連携型認定こども園,幼保連携型認定こども園　YMCA保育園　　※分園を含む,む※２ 私立,150*,×,×,×,×,×,×,5,7,2,1,0,0,,15
西区,幼保連携型認定こども園,幼保連携型認定こども園　なごみ保育園,私立,90,○,×,×,×,×,×,3,0,0,0,0,0,,3
西区,幼保連携型認定こども園,幼保連携型認定こども園　西神戸YMCA保育園,私立,70,×,×,×,×,×,×,3,3,3,0,0,0,,9
西区,幼保連携型認定こども園,幼保連携型認定こども園　神戸潤和保育園,私立,60*,×,×,×,×,×,×,1,1,3,1,1,0,,7
西区,幼保連携型認定こども園,幼保連携型認定こども園　神戸学園都市YMCAこども園,私立,80,×,×,×,×,×,×,3,2,1,0,3,1,,10
西区,幼保連携型認定こども園,認定こども園　ななほし保育園,私立,60*,×,×,×,×,×,×,5,3,1,2,1,0,,12
西区,幼保連携型認定こども園,幼保連携型認定こども園　あい保育園,私立,150,×,×,×,×,×,×,5,2,1,0,0,1,,9
西区,幼保連携型認定こども園,幼保連携型認定こども園　あゆみ幼児園,私立,120,×,×,×,×,×,×,4,6,3,0,3,1,,17
西区,幼保連携型認定こども園,幼保連携型認定こども園　同朋にこにここども園　※分園含む　※２,私立,188*,×,×,×,×,×,×,6,3,4,0,2,1,,16
西区,幼保連携型認定こども園,幼保連携型認定こども園　わらべ保育園,私立,80,×,×,×,×,×,×,4,0,0,1,0,0,,5
西区,幼保連携型認定こども園,幼保連携型認定こども園　有瀬幼稚園,私立,104*,○,○,○,×,×,×,0,1,0,0,0,1,,2
西区,幼稚園型認定こども園,認定こども園　さくらんぼ幼稚園,私立,55*,○,×,○,○,○,×,0,0,0,0,0,0,,0
西区,幼稚園型認定こども園,認定こども園　いぶき幼稚園,私立,60*,,×,×,×,×,×,,5,3,3,4,0,,15
西区,幼稚園型認定こども園,認定こども園　桑ノ木幼稚園,私立,60*,×,×,×,×,×,×,4,2,1,5,1,4,,17
西区,保育所,玉津保育所,公立,120,×,×,○,×,×,○,2,0,0,1,0,0,,3
西区,保育所,押部谷保育所,公立,126,○,○,○,○,○,○,0,0,0,0,0,0,,0
西区,保育所,王塚台保育所,公立,120,×,×,○,×,×,○,1,1,0,1,0,0,,3
西区,保育所,日輪寺保育園,私立,120,○,×,×,×,×,×,2,1,0,1,0,0,,4
西区,保育所,弁天保育園,私立,90,×,×,×,×,×,×,3,0,1,1,2,0,,7
西区,保育所,神出保育園,私立,90,×,×,×,×,×,×,1,0,2,0,0,0,,3
西区,保育所,平野保育園,私立,150,×,×,×,×,×,×,0,2,0,0,0,0,,2
西区,保育所,出合保育園,私立,160,○,×,×,×,×,×,3,0,0,1,0,0,,4
西区,保育所,持子保育園,私立,90,×,×,○,×,×,×,4,1,1,2,1,0,,9
西区,保育所,竹の台保育園,私立,150,○,×,×,×,×,×,1,4,1,1,1,1,,9
西区,保育所,美賀多保育園,私立,210,○,×,×,×,×,×,1,3,5,0,4,0,,13
西区,保育所,まゆか保育園,私立,150,×,×,×,×,×,×,3,2,3,3,1,0,,12
西区,保育所,つぐみ保育園,私立,181,×,×,×,×,×,×,9,6,3,2,0,0,,20
西区,保育所,ひまわり保育園,私立,110,×,×,×,×,×,×,0,2,0,0,0,0,,2
西区,保育所,なかよし保育園　　※分園を含む,私立,120,×,○,×,×,×,×,5,3,0,0,0,0,,8
西区,保育所,あおぞら保育園,私立,130,×,×,×,×,×,×,1,1,0,1,1,0,,4
西区,保育所,枦谷つぐみ保育園,私立,90,×,×,×,×,×,×,0,1,0,1,1,0,,3
西区,保育所,枝吉保育所,私立,120,○,×,×,×,×,×,0,2,0,2,0,0,,4
西区,保育所,井吹北つぐみ保育園　　※分園を含む,私立,80,×,×,×,×,×,×,1,3,0,0,0,0,,4
西区,家庭的保育事業,山本　赤ちゃんホーム,私立,5,○,,,,,,0,,,,,,,0
西区,家庭的保育事業,津吉　赤ちゃんホーム,私立,5,○,,,,,,1,,,,,,,1
西区,小規模保育事業,こばとキンダ―ルーム,私立,19,○,○,○,,,,1,0,0,,,,,1
西区,小規模保育事業,西神中央エンゼルホーム,私立,19,×,×,×,,,,1,1,1,,,,,3
西区,小規模保育事業,YMCAちとせ保育ルーム,私立,12,,×,×,,,,,0,0,,,,,0
西区,小規模保育事業,学園都市駅前小規模保育園,私立,12,×,×,×,,,,0,0,0,,,,,0
西区,小規模保育事業,小規模保育園ふわり池上,私立,12,×,×,×,,,,0,0,0,,,,,0
西区,小規模保育事業,小規模保育つぐみ　House,私立,19,×,×,×,,,,0,0,0,,,,,0
西区,小規模保育事業,キッズパートナー狩場台,私立,19,×,×,×,,,,0,0,0,,,,,0
西区,事業所内保育事業,ひかりのくれよん,私立,19（内地域枠5）,○,○,○,,,,0,0,0,,,,,0
西区,事業所内保育事業,事業所内保育事業　みどり保育園,私立,20（内地域枠5）,○,○,○,,,,0,0,0,,,,,0
須磨区,幼保連携型認定こども園,幼保連携型認定こども園　若木保育園,私立,80*,×,×,○,○,○,○,8,0,0,0,0,0,,8
須磨区,幼保連携型認定こども園,幼保連携型認定こども園　大手幼稚園,私立,40*,,,×,×,×,×,,,0,0,2,0,,2
須磨区,幼保連携型認定こども園,幼保連携型認定こども園　西須磨幼稚園,私立,60*,,×,×,×,×,×,,3,2,1,0,0,,6
須磨区,幼保連携型認定こども園,幼保連携型認定こども園　神戸YMCAちとせ幼稚園,私立,20*,,,,×,×,×,,,,0,1,2,,3
須磨区,幼稚園型認定こども園,認定こども園　禅昌寺幼稚園,私立,20*,,,,○,○,○,,,,0,0,0,,0
須磨区,保育所,須磨保育所,公立,232,×,×,×,○,○,○,5,4,3,0,0,0,,12
須磨区,保育所,たかとり保育所,公立,54,×,×,×,×,○,×,1,1,0,0,0,0,,2
須磨区,保育所,高倉台保育所,公立,90,×,×,×,×,○,○,1,7,0,0,0,0,,8
須磨区,保育所,東須磨愛児園　　※分園含む,私立,70,×,×,×,×,○,×,0,0,0,0,0,0,,0
須磨区,保育所,太田共同保育園,私立,40,×,×,×,×,,,1,1,0,0,,,,2
須磨区,保育所,千歳保育園,私立,120,×,×,×,×,×,×,1,0,1,1,0,0,,3
須磨区,保育所,村雨保育園　※分園含む　※２,私立,132,×,×,×,×,×,×,4,5,1,0,0,0,,10
須磨区,保育所,すまいる保育園,私立,90,×,○,×,×,○,×,1,1,1,0,0,0,,3
須磨区,保育所,いたやど保育園,私立,70,×,×,×,×,×,×,1,0,0,0,1,0,,2
須磨区,保育所,若宮保育園,私立,50,×,×,×,○,○,○,0,0,0,0,0,0,,0
須磨区,保育所,たかとりちどり保育園,私立,80,×,×,×,○,○,○,1,1,0,0,0,0,,2
須磨区,家庭的保育事業,大池　赤ちゃんホーム,私立,5,×,×,×,,,,1,0,0,,,,,1
須磨区,家庭的保育事業,林　赤ちゃんホーム,私立,4,×,×,,,,,0,0,,,,,,0
須磨区,家庭的保育事業,小原　赤ちゃんホーム,私立,4,×,,,,,,0,,,,,,,0
須磨区,事業所内保育事業,ヤクルトキッズスクール須磨,私立,19（内地域枠5）,×,×,×,,,,0,0,0,,,,,0
垂水区,幼保連携型認定こども園,幼保連携型認定こども園　多夢の森,私立,90*,×,×,×,×,×,×,2,2,0,1,0,0,,5
垂水区,幼保連携型認定こども園,幼保連携型認定こども園　夢の森,私立,60*,×,×,×,×,×,×,1,1,0,0,1,0,,3
垂水区,幼保連携型認定こども園,幼保連携型　おとぎ認定こども園,私立,120*,×,×,×,×,×,×,2,5,3,1,1,1,,13
垂水区,幼保連携型認定こども園,幼保連携型認定こども園　花の森,私立,80*,×,×,×,×,×,×,4,2,3,0,1,1,,11
垂水区,幼保連携型認定こども園,幼保連携型認定こども園　心の森,私立,60*,×,×,×,×,×,×,4,1,0,0,1,1,,7
垂水区,幼保連携型認定こども園,幼保連携型認定こども園　明舞幼稚園,私立,70*,,×,×,×,×,×,,3,2,1,0,0,,6
垂水区,幼保連携型認定こども園,幼保連携型認定こども園　塩屋幼稚園,私立,80*,,×,×,×,×,×,,0,2,0,0,1,,3
垂水区,幼保連携型認定こども園,幼保連携型小束山認定こども園,私立,120*,×,×,×,×,×,×,3,2,2,1,0,0,,8
垂水区,幼保連携型認定こども園,幼保連携型認定こども園　桃の木幼稚園,私立,120*,×,×,×,×,×,×,4,3,1,0,0,1,,9
垂水区,幼保連携型認定こども園,幼保連携型認定こども園　上高丸,私立,70*,×,×,×,×,×,×,2,0,2,0,0,0,,4
垂水区,幼稚園型認定こども園,認定こども園　霞ヶ丘幼稚園,私立,50*,,,×,×,×,×,,,2,3,4,0,,9
垂水区,幼稚園型認定こども園,認定こども園　湊川短期大学附属神陵台幼稚園,私立,30*,,,,×,×,×,,,,0,0,0,,0
垂水区,幼稚園型認定こども園,認定こども園　湊川短期大学附属西舞子幼稚園,私立,50*,,,×,×,×,×,,,3,2,1,1,,7
垂水区,幼稚園型認定こども園,認定こども園　聖マリアの園幼稚園,私立,10*,,,,○,○,○,,,,0,0,0,,0
垂水区,保育所,奥ノ池保育所,公立,98,×,×,×,×,○,○,1,2,0,2,1,0,,6
垂水区,保育所,星陵台保育所,公立,57,,×,×,×,×,×,,1,1,0,1,0,,3
垂水区,保育所,本多聞保育所,公立,141,×,×,×,×,×,×,7,1,4,0,0,0,,12
垂水区,保育所,川原保育所,公立,116,×,×,×,×,×,×,3,6,0,1,0,0,,10
垂水区,保育所,東高丸保育所,公立,56,,×,×,○,○,×,,0,0,0,0,1,,1
垂水区,保育所,向陽保育所,公立,124,×,×,×,×,×,×,1,1,1,1,1,0,,5
垂水区,保育所,舞子保育園,私立,130,×,×,×,×,×,×,4,2,0,1,0,2,,9
垂水区,保育所,歌敷山保育園,私立,70,×,×,×,×,×,×,0,4,1,2,0,0,,7
垂水区,保育所,東垂水保育園,私立,60,×,×,×,×,×,×,2,2,1,0,1,0,,6
垂水区,保育所,塩屋保育園,私立,60,×,×,×,×,×,×,0,2,0,0,0,0,,2
垂水区,保育所,滝の茶屋保育園,私立,90,○,×,×,○,○,○,0,1,2,0,1,0,,4
垂水区,保育所,学が丘保育園　　※分園を含む,私立,200,×,×,×,×,×,×,5,1,1,0,0,0,,7
垂水区,保育所,たるみ保育園,私立,140,×,×,×,×,×,×,10,4,1,0,0,0,,15
垂水区,保育所,ドレミキッズ保育園,私立,60,×,×,×,×,×,×,5,6,2,0,1,0,,14
垂水区,保育所,千鳥が丘親和保育園,私立,120,○,×,×,×,×,×,2,1,2,2,0,0,,7
垂水区,保育所,ことぶき保育園,私立,90,×,×,×,×,×,×,2,4,1,2,0,1,,10
垂水区,保育所,ひとまる保育園,私立,90,×,○,×,×,○,×,3,1,2,1,0,0,,7
垂水区,保育所,かすみがおか虹保育園,私立,90,×,×,×,×,×,×,7,4,5,5,0,0,,21
垂水区,保育所,たけの保育園　　※分園を含む,私立,80,○,×,×,×,×,×,2,0,1,0,0,1,,4
垂水区,保育所,かすが保育園,私立,90,×,×,×,×,×,×,1,6,4,3,1,1,,16
垂水区,保育所,多聞台保育園,私立,100,×,×,×,×,×,×,3,1,2,1,0,0,,7
垂水区,保育所,たかつか保育園,私立,60,○,○,×,×,×,×,0,2,2,0,0,0,,4
垂水区,家庭的保育事業,岩崎　赤ちゃんホーム,私立,5,○,,,,,,1,,,,,,,1
垂水区,家庭的保育事業,藤田赤ちゃんホームひまわり,私立,5,×,×,×,,,,1,0,0,,,,,1
垂水区,家庭的保育事業,きたぐち　赤ちゃんホーム,私立,4,○,,,,,,0,,,,,,,0
垂水区,家庭的保育事業,井口　赤ちゃんホームinジェームス山,私立,4,×,,,,,,0,,,,,,,0
垂水区,家庭的保育事業,はやし赤ちゃんホームｉｎ五色山,私立,5,○,○,○,,,,0,0,0,,,,,0
垂水区,家庭的保育事業,大塚　赤ちゃんホーム,私立,5,×,,,,,,0,,,,,,,0
垂水区,小規模保育事業,ちっちゃなこども園ふたば,私立,12,×,×,×,,,,1,1,1,,,,,3
垂水区,小規模保育事業,本多聞小規模保育園,私立,12,×,×,×,,,,0,0,0,,,,,0
垂水区,小規模保育事業,青山台小規模保育園,私立,12,×,×,×,,,,0,0,0,,,,,0
垂水区,小規模保育事業,虹っこひろば,私立,12,×,○,○,,,,0,0,0,,,,,0
垂水区,小規模保育事業,小規模保育園　たるみ駅ナカ,私立,19,×,×,×,,,,0,3,0,,,,,3
垂水区,小規模保育事業,垂水駅前小規模保育園,私立,19,○,×,×,,,,0,0,0,,,,,0
垂水区,小規模保育事業,つくし,私立,19,×,×,○,,,,0,0,0,,,,,0
垂水区,小規模保育事業,小規模保育園CHES（チェス）,私立,12,×,×,×,,,,0,1,0,,,,,1
垂水区,小規模保育事業,ハープキッズ,私立,12,×,○,○,,,,0,1,0,,,,,1
垂水区,小規模保育事業,小規模保育園さくら,私立,19,×,×,×,,,,0,0,0,,,,,0
垂水区,小規模保育事業,小規模保育園KOBILS,私立,12,×,×,×,,,,0,0,0,,,,,0
垂水区,小規模保育事業,小規模保育事業　花の森,私立,12,×,×,×,,,,0,1,0,,,,,1
垂水区,小規模保育事業,キッズブライト・ナーサリー垂水,私立,19,○,○,○,,,,0,0,0,,,,,0
垂水区,小規模保育事業,ちっちゃなこども園よつば,私立,19,×,×,×,,,,0,0,1,,,,,1
垂水区,小規模保育事業,小規模保育園ちゃいるどるーむ,私立,19,○,○,○,,,,0,0,0,,,,,0
垂水区,事業所内保育事業,いるか保育園,私立,12（内地域枠4）,×,×,×,,,,0,0,0,,,,,0
垂水区,事業所内保育事業,オービーホームキッズ,私立,12（内地域枠5）,○,○,○,,,,0,0,0,,,,,0
垂水区,事業所内保育事業,ハートランド・きっず,私立,25（内地域枠10）,×,×,×,,,,0,1,0,,,,,1
